Date,Open,High,Low,Close,Volume,Adj Close
2014-09-30,100.81,101.54,100.53,100.75,55264100,99.92067
2014-09-29,98.65,100.44,98.63,100.11,49766300,99.28593
2014-09-26,98.53,100.75,98.40,100.75,62370500,99.92067
2014-09-25,100.51,100.71,97.72,97.87,100092000,97.06438
2014-09-24,102.16,102.85,101.20,101.75,60171800,100.91244
2014-09-23,100.60,102.94,100.54,102.64,63402200,101.79511
2014-09-22,101.80,102.14,100.58,101.06,52788400,100.22811
2014-09-19,102.29,102.35,100.50,100.96,70902400,100.12894
2014-09-18,101.93,102.35,101.56,101.79,37299400,100.95211
2014-09-17,101.27,101.80,100.59,101.58,60926500,100.74384
2014-09-16,99.80,101.26,98.89,100.86,66908100,100.02976
2014-09-15,102.81,103.05,101.44,101.63,61316500,100.79342
2014-09-12,101.21,102.19,101.08,101.66,64096900,100.82318
2014-09-11,100.41,101.44,99.62,101.43,62353100,100.59507
2014-09-10,98.01,101.11,97.76,101.00,100869600,100.16861
2014-09-09,99.08,103.08,96.14,97.99,189846300,97.18339
2014-09-08,99.30,99.31,98.05,98.36,46356700,97.55034
2014-09-05,98.80,99.39,98.31,98.97,58457000,98.15532
2014-09-04,98.85,100.09,97.79,98.12,85718000,97.31232
2014-09-03,103.10,103.20,98.58,98.94,125421000,98.12557
2014-09-02,103.06,103.74,102.72,103.30,53564000,102.44968
2014-08-29,102.86,102.90,102.20,102.50,44595000,101.65627
2014-08-28,101.59,102.78,101.56,102.25,68460000,101.40832
2014-08-27,101.02,102.57,100.70,102.13,52369000,101.28931
2014-08-26,101.42,101.50,100.86,100.89,33152000,100.05952
2014-08-25,101.79,102.17,101.28,101.54,40270000,100.70416
2014-08-22,100.29,101.47,100.19,101.32,44184000,100.48598
2014-08-21,100.57,100.94,100.11,100.58,33478000,99.75207
2014-08-20,100.44,101.09,99.95,100.57,52699000,99.74215
2014-08-19,99.41,100.68,99.32,100.53,69399000,99.70248
2014-08-18,98.49,99.37,97.98,99.16,47572000,98.34376
2014-08-15,97.90,98.19,96.86,97.98,48951000,97.17347
2014-08-14,97.33,97.57,96.80,97.50,28116000,96.69742
2014-08-13,96.15,97.24,96.04,97.24,31916000,96.43956
2014-08-12,96.04,96.88,95.61,95.97,33795000,95.18002
2014-08-11,95.27,96.08,94.84,95.99,36585000,95.19985
2014-08-08,94.26,94.82,93.28,94.74,41865000,93.96014
2014-08-07,94.93,95.95,94.10,94.48,46711000,93.70229
2014-08-06,94.75,95.48,94.71,94.96,38558000,93.7122
2014-08-05,95.36,95.68,94.36,95.12,55933000,93.8701
2014-08-04,96.37,96.58,95.17,95.59,39958000,94.33392
2014-08-01,94.90,96.62,94.81,96.13,48511000,94.86682
2014-07-31,97.16,97.45,95.33,95.60,56843000,94.34379
2014-07-30,98.44,98.70,97.67,98.15,33010000,96.86028
2014-07-29,99.33,99.44,98.25,98.38,43143000,97.08726
2014-07-28,97.82,99.24,97.55,99.02,55318000,97.71885
2014-07-25,96.85,97.84,96.64,97.67,43469000,96.38659
2014-07-24,97.04,97.32,96.42,97.03,45729000,95.755
2014-07-23,95.42,97.88,95.17,97.19,92918000,95.9129
2014-07-22,94.68,94.89,94.12,94.72,55197000,93.47536
2014-07-21,94.99,95.00,93.72,93.94,39079000,92.7056
2014-07-18,93.62,94.74,93.02,94.43,49988000,93.18916
2014-07-17,95.03,95.28,92.57,93.09,57298000,91.86677
2014-07-16,96.97,97.10,94.74,94.78,53502000,93.53456
2014-07-15,96.80,96.85,95.03,95.32,45477900,94.06747
2014-07-14,95.86,96.89,95.65,96.45,42810000,95.18262
2014-07-11,95.36,95.89,94.86,95.22,34018000,93.96879
2014-07-10,93.76,95.55,93.52,95.04,39686000,93.79115
2014-07-09,95.44,95.95,94.76,95.39,36436000,94.13655
2014-07-08,96.27,96.80,93.92,95.35,65222000,94.09708
2014-07-07,94.14,95.99,94.10,95.97,56468000,94.70893
2014-07-03,93.67,94.10,93.20,94.03,22891800,92.79442
2014-07-02,93.87,94.06,93.09,93.48,28465000,92.25165
2014-07-01,93.52,94.07,93.13,93.52,38223000,92.29112
2014-06-30,92.10,93.73,92.09,92.93,49589000,91.70888
2014-06-27,90.82,92.00,90.77,91.98,64029000,90.77136
2014-06-26,90.37,91.05,89.80,90.90,32629000,89.70555
2014-06-25,90.21,90.70,89.65,90.36,36869000,89.17265
2014-06-24,90.75,91.74,90.19,90.28,39036000,89.0937
2014-06-23,91.32,91.62,90.60,90.83,43694000,89.63647
2014-06-20,91.85,92.55,90.90,90.91,100898000,89.71542
2014-06-19,92.29,92.30,91.34,91.86,35528000,90.65294
2014-06-18,92.27,92.29,91.35,92.18,33514000,90.96873
2014-06-17,92.31,92.70,91.80,92.08,29726000,90.87005
2014-06-16,91.51,92.75,91.45,92.20,35561000,90.98846
2014-06-13,92.20,92.44,90.88,91.28,54525000,90.08056
2014-06-12,94.04,94.12,91.90,92.29,54749000,91.07729
2014-06-11,94.13,94.76,93.47,93.86,45681000,92.62666
2014-06-10,94.73,95.05,93.57,94.25,62777000,93.01153
2014-06-09,92.70,93.88,91.75,93.70,75415000,92.46876
2014-06-06,649.90002,651.26001,644.46997,645.57001,87484600,91.01244
2014-06-05,646.20007,649.37,642.60999,647.34998,75951400,91.26337
2014-06-04,637.44,647.88995,636.11005,644.82001,83870500,90.9067
2014-06-03,628.45996,638.73999,628.25,637.53998,73177300,89.88036
2014-06-02,633.95996,634.83002,622.50,628.64996,92337700,88.62704
2014-05-30,637.97998,644.17004,628.90002,633.00,141005200,89.24032
2014-05-29,627.85004,636.87,627.77002,635.38,94118500,89.57584
2014-05-28,626.02002,629.82996,623.77997,624.01001,78870400,87.97291
2014-05-27,615.88,625.85999,615.63,625.62994,87216500,88.20129
2014-05-23,607.25,614.72998,606.47003,614.13,58052400,86.58002
2014-05-22,606.59998,609.84998,604.10004,607.27002,50190000,85.61291
2014-05-21,603.83002,606.70001,602.06,606.30994,49214900,85.47755
2014-05-20,604.50995,606.40002,600.72998,604.70996,58709000,85.25199
2014-05-19,597.84998,607.33002,597.33002,604.59003,79438800,85.23508
2014-05-16,588.63,597.52997,585.40002,597.50995,69064100,84.23693
2014-05-15,594.69995,596.59998,588.03992,588.82001,57711500,83.01182
2014-05-14,592.42999,597.40002,591.73999,593.87,41601000,83.72377
2014-05-13,592.00,594.54004,590.69995,593.76001,39934300,83.70827
2014-05-12,587.48999,593.65997,587.40002,592.83002,53302200,83.57716
2014-05-09,584.53992,586.25,580.33002,585.53998,72899400,82.5494
2014-05-08,588.25,594.40997,586.40002,587.98999,57574300,82.89481
2014-05-07,595.25,597.28998,587.73004,592.32996,70716100,83.04283
2014-05-06,601.79999,604.41003,594.40997,594.40997,93641100,83.33444
2014-05-05,590.13995,601.00,590.00,600.96002,71766800,84.25274
2014-05-02,592.34003,594.19995,589.71008,592.58002,47878600,83.07789
2014-05-01,592.00,594.79999,586.35999,591.47998,61012000,82.92367
2014-04-30,592.64001,599.42999,589.79999,590.08997,114160200,82.72879
2014-04-29,593.73999,595.97998,589.51001,592.32996,84344400,83.04283
2014-04-28,572.79999,595.75,572.55005,594.09003,167371400,83.28959
2014-04-25,564.52997,571.98999,563.95996,571.94,97568800,80.18422
2014-04-24,568.21002,570.00,560.72998,567.77002,189977900,79.5996
2014-04-23,529.06,531.12994,524.45001,524.75,98735000,73.56833
2014-04-22,528.31006,531.82996,526.50,531.69995,50640800,74.54269
2014-04-21,525.33997,532.13995,523.96002,531.17004,45637200,74.4684
2014-04-17,520.00,527.76001,519.20001,524.94,71083600,73.59497
2014-04-16,518.04999,521.09003,514.14001,519.01001,53691400,72.7636
2014-04-15,520.27002,521.63995,511.32999,517.96008,66622500,72.6164
2014-04-14,521.89996,522.16003,517.20996,521.67999,51418500,73.13792
2014-04-11,519.00,522.83002,517.13995,519.61005,67929400,72.84772
2014-04-10,530.68005,532.23999,523.16998,523.48004,59913000,73.39028
2014-04-09,522.64001,530.48999,522.02002,530.32001,51542400,74.34923
2014-04-08,525.18994,526.12,518.70001,523.43994,60972100,73.38467
2014-04-07,528.02002,530.90002,521.88995,523.47003,72462600,73.38888
2014-04-04,539.80994,540.00,530.58002,531.82001,68812800,74.55952
2014-04-03,541.39001,542.50,537.63995,538.79004,40586000,75.5367
2014-04-02,542.38,543.47998,540.26001,542.54999,45105200,76.06384
2014-04-01,537.76001,541.87,536.77002,541.65002,50190000,75.93765
2014-03-31,539.23004,540.81,535.93005,536.73999,42167300,75.24928
2014-03-28,538.32007,538.94,534.25,536.86005,50141000,75.26612
2014-03-27,540.02002,541.50,535.12,537.45996,55507900,75.35023
2014-03-26,546.52002,549.00,538.86005,539.77997,74942000,75.67548
2014-03-25,541.50,545.75,539.59003,544.98999,70573300,76.40591
2014-03-24,538.41998,540.50,535.06,539.18994,88925200,75.59277
2014-03-21,531.92999,533.75,526.33002,532.87006,93511600,74.70673
2014-03-20,529.89001,532.66998,527.34998,528.70001,52099600,74.12211
2014-03-19,532.26001,536.23999,529.00,531.26001,56189000,74.48101
2014-03-18,525.90002,531.96997,525.20001,531.40002,52411800,74.50064
2014-03-17,527.69995,529.96997,525.84998,526.73999,49886200,73.84732
2014-03-14,528.78998,530.89001,523.00,524.69,59299800,73.55991
2014-03-13,537.43994,539.66003,529.16003,530.64996,64435700,74.39548
2014-03-12,534.50995,537.35004,532.00,536.60999,49831600,75.23106
2014-03-11,535.45001,538.73999,532.59003,536.09003,69806100,75.15816
2014-03-10,528.36005,533.33002,528.33997,530.91998,44646000,74.43334
2014-03-07,531.09003,531.97998,526.04999,530.43994,55182400,74.36604
2014-03-06,532.79004,534.44,528.10004,530.75,46372200,74.40951
2014-03-05,530.91998,534.75,529.13,532.35999,50015700,74.63523
2014-03-04,531.00,532.64001,527.77002,531.24005,64785000,74.47821
2014-03-03,523.42004,530.64996,522.81,527.76001,59695300,73.99033
2014-02-28,529.08002,532.75,522.12,526.23999,92992200,73.77722
2014-02-27,517.13995,528.78003,516.04999,527.67004,75470500,73.97771
2014-02-26,523.60999,525.00,515.59998,517.34998,69054300,72.53087
2014-02-25,529.37994,529.57007,521.00,522.06,57988000,73.1912
2014-02-24,523.14996,529.91998,522.42004,527.55005,72227400,73.96088
2014-02-21,532.79004,534.57001,524.60004,525.25,69696200,73.63843
2014-02-20,532.99005,537.00,529.00,531.15002,76464500,74.46559
2014-02-19,544.75,546.88995,534.34998,537.37,78442000,75.33762
2014-02-18,546.00,551.19,545.61005,545.98999,65062900,76.54611
